"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption","NominalURT"
124,14,"04",1,31,"938.4827669510955","11997.262999999999","947.7622580645161"
125,14,"07",1,31,"941.085615445939","12085.895","946.3932258064519"
126,15,"01",1,30,"2139.4081940935616","206622","0"
127,15,"02",1,28,"2134.170551498925","246510","0"
128,15,"03",1,12,"1849.0898742765683","86221","0"
129,15,"04",1,29,"2034.41006140188","269210","0"
130,15,"05",1,28,"1888.50587110497","183824","0"
131,17,"04",1,9,"3142.9593340720676","12183","3570.9001111111115"
132,17,"05",1,4,"3877.8185643227475","6172","3860.9262500000004"
133,17,"06",1,29,"1566.698656903626","59954","1554.3694482758626"
134,17,"07",1,10,"1750.930400147704","23019","1767.3298"
135,17,"08",1,10,"1427.4162336162308","19913","5181.1957999999995"
136,17,"09",1,31,"1252.2592801444844","63121","1286.8249999999996"
137,18,"01",1,10,"2936.588950721464","9743.451000000001","3360.3773"
138,18,"07",1,11,"1172.2370186642804","1153.326","1195.4962727272728"
139,18,"08",1,12,"1136.8510485303862","1148.7029999999997","1139.5824166666669"
140,18,"10",1,9,"914.2808479575255","3912.5579999999995","951.833888888889"
141,18,"11",1,30,"1129.9689752991005","78215.69399999999","1160.6696"
142,18,"12",1,30,"1160.4035187771883","84118.55799999999","1115.7525666666666"
143,18,"14",1,30,"1299.266877719444","96940.48999999999","1217.2587333333333"
144,19,"04",1,20,"2222.1923275898002","14393","2406.5255500000003"
145,19,"05",1,26,"1766.4292134471718","29047","1893.8836153846155"
146,19,"06",1,26,"1118.6130104028298","67001","1103.0702307692304"
147,19,"07",1,20,"1168.5437892767086","37675","1474.15385"
148,19,"08",1,17,"1107.229415510105","32856","1269.873294117647"
149,20,"01",1,20,"1510.239734924163","117423","1544.53975"
150,20,"02",1,30,"1361.366985593358","166451","1321.1430666666668"
151,20,"03",1,28,"1365.631194412731","158539","1475.4323214285712"
152,20,"04",1,22,"1481.678168573549","115896","1520.1050909090911"
153,20,"05",1,30,"1549.957861793235","197219","1514.3782999999996"
154,20,"06",1,30,"1414.2505713999792","189860","1537.3591333333336"
155,21,"02",1,9,"4069.9020583269375","7818","3496.072555555556"
156,21,"03",1,29,"1827.0363417768276","37899","1933.713689655172"
157,21,"04",1,7,"5907.015701482248","2901","5160.629999999999"
158,22,"03",1,20,"1838.6940477919018","39917.76700000001","1575.0284500000002"
